State,Name,Area,YearEstablished,TwitterHandle,TwitterID
AK,Denali,4704911.16,1917,DenaliNPS,45943457
AK,Gates of the Arctic,7523897.45,1980,GatesArcticNPS,65671278
AK,Katmai,3674529.33,1980,KatmaiNPS,65672980
AK,Lake Clark,2619816.49,1980,LakeClarkNPS,66453289
AK,Kenai Fjords,669650.05,1980,KenaiFjordsNPS,66454524
AK,Glacier Bay,3223383.43,1980,GlacierBayNPS,65670632
AK,Wrangell-St. Elias,8323146.48,1980,WrangellStENPS,66761483
AZ,Grand Canyon,1201647.03,1919,GrandCanyonNPS,212304085
AZ,Petrified Forest,221390.21,1962,PetrifiedNPS,111932837
AZ,Saguaro,91715.72,1994,SaguaroNPS,44984641
AR,Hot Springs,5554.15,1921,HotSpringsNP,839853236693700000
CA,Channel Islands,249561,1980,CHISNPS,937267308
CA,Joshua Tree,795155.85,1994,JoshuaTreeNPS,23799310
CA,Lassen Volcanic,106589.02,1916,LassenNPS,24549680
CA,Yosemite,761747.5,1890,YosemiteNPS,18726942
CA,Pinnacles,26685.73,2013,PinnaclesNPS,429350258
CA,Redwood,138999.37,1968,RedwoodNPS,117874971
CA,Sequoia,404062.63,1890,SequoiaKingsNPS,45854669
CO,Black Canyon,30779.83,1999,BlackCanyonNPS,62719868
CO,Rocky Mountain,265807.25,1915,RockyNPS,96783382
FL,Biscayne,172971.11,1980,BiscayneNPS,70523764
FL,Dry Tortugas,64701.22,1992,DryTortugasNPS,65419678
FL,Everglades,1508938.57,1934,EvergladesNPS,63966574
HI,Haleakala,33264.62,1961,HaleakalaNPS,80180108
HI,Hawaii Volcanoes,325605.28,1916,Volcanoes_NPS,80711731
IN,Indiana Dunes,15349.08,2019,DunesNPA,1089582170
KY,Mammoth Cave,54011.91,1941,MammothCaveNP,103951557
ME,Acadia,49076.63,1919,AcadiaNPS,185874758
MN,Voyageurs,218222.35,1975,VoyageursNPS,824081211580674000
MO,Gateway Arch,192.83,2018,GatewayArchNPS,715258619000807000
MT,Glacier,1013125.99,1910,GlacierNPS,32887168
NV,Death Valley,3408406.73,1994,DeathValleyNPS,41675868
NV,Great Basin,77180,1986,GreatBasinNPS,247048493
NM,Carlsbad Caverns,46766.45,1930,CavernsNPS,2216141035
ND,Theodore Roosevelt,70446.89,1978,TRooseveltNPS,92380090
OH,Cuyahoga Valley,32571.88,2000,CVNPNPS,4692029546
OR,Crater Lake,183224.05,1902,CraterLakeNPS,88756857
SC,Congaree,26476.47,2003,CongareeNPS,45436858
SD,Badlands,242755.94,1978,BadlandsNPS,304392714
SD,Wind Cave,33970.84,1903,WindCaveNPS,3319657702
TN,Great Smoky Mountains,522426.88,1934,GreatSmokyNPS,2853749519
TX,Big Bend,801163.21,1944,BigBendNPS,2975391639
TX,Guadalupe Mountains,86367.1,1966,GuadalupeMtnsNP,1373255234
UT,Arches,76678.98,1971,ArchesNPS,271060845
UT,Bryce Canyon,35835.08,1928,BryceCanyonNPS,57339949
UT,Canyonlands,337597.93,1964,CanyonlandsNPS,298047906
UT,Zion,147242.66,1919,ZionNPS,44984439
UT,Capitol Reef,241904.5,1971,CapitolReefNPS,369615224
VA,Shenandoah,199223.77,1935,ShenandoahNPS,45854335
WA,Mount Rainier,236381.64,1899,MountRainierNPS,316742293
WA,North Cascades,504780.94,1968,NCascadesNPS,186094017
WA,Olympic,922649.41,1938,OlympicNP,3111736843
WY,Grand Teton,310044.36,1929,GrandTetonNPS,44991932
WY,Yellowstone,2219790.71,1872,YellowstoneNPS,44992488
